timestamp,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,isValid,pid,new_timestamp,trans_time,new_trans_time,seconds,arousal,valence,happy,angry,nervous,sad
1.55262E+12,16597,11052,6671,6975,4035,6760,352043,79922,1,23,1.55262E+12,1.013,216.537,5,2,2.667,1,1.333,2,1
1.55262E+12,14888,16265,8425,4369,1415,3907,193792,212205,1,23,1.55262E+12,0.972,217.509,5,2,2.667,1,1.333,2,1
1.55262E+12,12979,24156,8891,6598,4107,3752,646362,39873,1,23,1.55262E+12,0.997,218.506,5,2,2.667,1,1.333,2,1
1.55262E+12,19547,13973,17316,13720,4170,4863,602905,130028,1,23,1.55262E+12,1.003,219.509,5,2,2.667,1,1.333,2,1
1.55262E+12,8921,12239,3456,3824,1126,1322,686282,22343,1,23,1.55262E+12,1,220.509,5,2,2.667,1,1.333,2,1
1.55262E+12,10020,33607,13334,14361,2741,7871,987597,355646,1,23,1.55262E+12,0.982,221.491,5,2,2.667,1,1.333,2,1
1.55262E+12,16161,26502,17373,24299,9609,1996,223502,164137,1,23,1.55262E+12,1.015,222.506,10,2.667,2.667,1,1.333,2,1
1.55262E+12,4188,7604,491,1609,356,681,78159,6644,1,23,1.55262E+12,0.979,223.485,10,2.667,2.667,1,1.333,2,1
1.55262E+12,5841,11858,8909,8364,842,1053,187452,77286,1,23,1.55262E+12,1.008,224.493,10,2.667,2.667,1,1.333,2,1
1.55262E+12,42504,31495,41492,96065,6332,4935,349120,81306,1,23,1.55262E+12,0.984,225.477,10,2.667,2.667,1,1.333,2,1
1.55262E+12,75454,143820,17758,24291,4611,7445,1346468,194407,1,23,1.55262E+12,0.982,226.459,10,2.667,2.667,1,1.333,2,1
1.55262E+12,38237,4244,40170,86965,14987,18540,1434636,754427,1,23,1.55262E+12,1.024,227.483,10,2.667,2.667,1,1.333,2,1
1.55262E+12,7576,31741,11584,20221,10133,12880,1028644,195577,1,23,1.55262E+12,0.996,228.479,15,2.667,2.667,1,1.333,2,1
1.55262E+12,32897,14802,8977,14043,3365,5911,674958,70547,1,23,1.55262E+12,0.975,229.454,15,2.667,2.667,1,1.333,2,1
1.55262E+12,60790,83656,23556,110235,11467,19375,920376,203559,1,23,1.55262E+12,0.996,230.45,15,2.667,2.667,1,1.333,2,1
1.55262E+12,172844,31182,30656,98189,21384,13124,1428224,390480,1,23,1.55262E+12,1.013,231.463,15,2.667,2.667,1,1.333,2,1
1.55262E+12,52047,151578,36279,73388,15151,21511,1281891,505148,1,23,1.55262E+12,0.977,232.44,15,2.667,2.667,1,1.333,2,1
